J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
373.7,403.7,430.7,449.7,468.1,491.1,532.4
360.0,394.6,424.8,445.4,465.2,488.4,528.0
373.4,404.7,433.9,453.5,474.5,498.9,536.8
371.7,402.8,431.5,451.5,471.5,496.1,543.8
356.6,390.8,421.4,442.4,462.8,486.8,531.1
368.8,406.6,434.6,454.9,473.9,496.9,541.6
372.0,406.5,435.6,455.7,475.0,499.7,544.8
376.7,410.9,438.5,458.0,476.6,500.0,537.8
364.2,396.4,424.8,447.0,468.2,492.6,532.2
376.3,406.3,434.7,454.5,473.6,498.1,543.6
374.2,405.5,434.2,454.7,475.4,499.4,542.3
372.9,404.3,432.9,453.2,472.7,497.3,540.1
371.8,401.7,429.4,449.0,468.5,493.0,535.3
370.9,403.5,431.4,451.2,470.4,494.8,537.3
371.5,403.0,431.6,452.2,472.0,496.9,541.2
366.5,398.9,427.6,448.1,468.4,493.7,535.2
373.5,404.2,432.1,452.0,471.3,495.8,542.1
368.1,402.0,431.1,451.8,471.6,496.4,537.0
373.0,403.8,431.6,451.4,470.2,494.1,535.6
358.4,388.6,416.0,436.0,456.0,480.4,521.2
369.3,401.4,428.4,447.4,466.5,490.8,534.5
374.0,405.3,431.4,450.4,469.1,493.1,536.2
373.5,404.5,432.5,453.0,472.5,497.5,536.0
372.6,405.2,429.6,450.0,469.9,494.3,536.0
352.8,393.0,429.8,451.2,471.6,496.2,536.2
357.5,401.0,433.5,456.0,476.0,500.0,539.0
372.9,403.3,431.1,450.9,470.2,495.1,546.8
371.3,402.2,429.9,449.6,469.0,493.6,541.7
367.1,397.4,425.0,444.5,464.1,489.1,537.6
366.8,398.3,426.5,445.9,465.6,490.3,534.8
360.4,396.4,428.2,449.4,469.5,493.2,537.6
369.6,400.2,427.1,446.0,464.4,488.0,535.1
371.2,404.4,433.1,452.9,471.8,495.7,536.7
368.4,403.1,432.7,453.7,473.5,498.2,542.4
373.1,402.4,433.1,452.4,471.5,498.1,538.6
366.9,399.1,428.0,448.5,468.8,493.4,532.3
365.6,392.6,426.2,448.8,470.0,494.6,534.8
368.4,403.7,434.2,455.8,476.3,501.6,549.3
370.2,400.0,427.4,447.1,466.8,491.5,534.3
370.4,404.5,434.6,456.1,476.2,501.4,548.2
366.0,401.3,432.0,453.8,474.5,500.0,549.2
