T (K),"-CH3,neutral","-CH3,P-based","-CH3,N-based","-CH3,anion-based",-CH2-neutral,-CH2-P-based,-CH2-N-based,-CH2-anion-based,>CH-,>C<,-OH,-O-,-COOH,-COO-,-NH2,-NH-,>N-cation-based,>N-anion-based,>N-neutral,-CN,-F,-Br,-I,-Pcation-based,-Panion-based,-B,-S-, -SO2,=CH-, =C<, -O-, =N-
330.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
333.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
335.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
338.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
298.15,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,2,4,1,0,1
323.15,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,2,4,1,0,1
353.15,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,2,4,1,0,1
210,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
220,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
230,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
240,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
250,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
260,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
270,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
280,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
290,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
298.15,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
